sitename,lat,lon
富貴角,25.297,121.538
基隆,25.129,121.744
淡水,25.164,121.449
三重,25.061,121.495
萬華,25.030,121.499
新莊,25.037,121.449
菜寮,25.062,121.480
林口,25.077,121.365
汐止,25.060,121.660
新店,24.957,121.538
土城,24.983,121.445
板橋,25.012,121.465
桃園,24.993,121.301
中壢,24.965,121.225
龍潭,24.864,121.217
觀音,25.035,121.082
新竹,24.805,120.971
竹東,24.740,121.090
苗栗,24.560,120.820
三義,24.380,120.770
台中,24.151,120.663
忠明,24.162,120.650
西屯,24.176,120.639
沙鹿,24.233,120.557
大里,24.099,120.681
豐原,24.247,120.718
彰化,24.080,120.542
員林,23.961,120.573
大城,23.850,120.325
南投,23.915,120.684
竹山,23.756,120.683
斗六,23.711,120.540
麥寮,23.783,120.255
臺西,23.702,120.199
嘉義,23.480,120.449
朴子,23.459,120.248
新港,23.555,120.347
新營,23.311,120.311
安南,23.051,120.138
台南,22.992,120.205
善化,23.132,120.297
高雄(前金),22.626,120.300
小港,22.565,120.341
仁武,22.701,120.348
楠梓,22.727,120.325
橋頭,22.756,120.306
前鎮,22.604,120.327
鳳山,22.628,120.357
屏東,22.673,120.492
潮州,22.551,120.542
恆春,21.989,120.744
宜蘭,24.750,121.750
羅東,24.676,121.769
花蓮,23.972,121.602
台東,22.759,121.144
關山,23.045,121.171
馬公,23.566,119.566
金門,24.449,118.318
馬祖,26.160,119.950
